Shinu,4320000,12,1.2,0,0,1,0,0,0,1,0,0.85
Amoia,14990000,14,1.3,0,1,0,0,0,1,0,0,1.35
Fanwangon,3780000,8,1.1,0,0,0,1,0,0,1,0,0.65
Heungdongia,7150000,11,1.4,0,0,0,0,1,0,0,1,1.10
Ereshna,2090000,5,0.7,1,0,0,0,0,1,0,0,0.45
Kidshu,7920000,7,1.0,0,0,0,0,1,0,0,1,1.20
Yayadyurt,9480000,13,1.1,0,0,0,1,0,0,1,0,1.45
Argia,5970000,9,1.5,0,0,0,0,1,0,0,1,0.35
Gawrarē,11940000,15,0.9,0,0,0,0,0,1,0,0,1.75
Dourupia,7670000,6,1.3,0,0,0,0,1,0,0,1,0.55
Meshia,5360000,4,0.6,1,0,0,0,0,1,0,0,0.30
Dashnia,6160000,10,1.2,0,0,0,1,0,0,1,0,1.60
Shigawa,4570000,8,0.8,1,0,0,0,0,1,0,0,0.25
Ngadiepia,8970000,11,1.0,0,0,0,0,1,0,0,1,1.15
Ikania,5280000,13,0.7,1,0,0,0,0,1,0,0,0.75
Muiloiko,8760000,7,1.4,0,0,0,0,1,0,0,1,1.35
Khuria,3970000,5,1.1,0,0,1,0,0,0,1,0,0.40
Haguria,10980000,14,0.9,0,0,0,1,0,0,1,0,1.65
Hokshan,2280000,6,0.5,1,0,0,0,0,1,0,0,0.50
Shaga,5570000,9,1.3,0,0,0,0,1,0,0,1,0.80
Tachia,2470000,4,1.5,0,0,0,1,0,0,1,0,0.55
Chulandor,3580000,12,0.6,1,1,0,0,0,0,1,0,0.60
Hatia,4370000,7,1.0,0,0,0,0,1,0,0,1,1.00
Nekalia,3180000,5,1.2,0,0,0,1,0,0,1,0,1.20
Kanda,6780000,8,0.7,1,0,0,0,0,1,0,0,0.65
